Títulos Públicos Federais,...2,...3,...4,...5,...6,...7,...8,...9,...10,07/Ago/2025
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Papel IPCA,NA,NTN-B - Taxa (% a.a.)/252,NA,NA,NA,NA,NA,NA,NA,NA
Código SELIC,Data Base/Emissão,Data de Vencimento,Tx. Compra,Tx. Venda,Tx. Indicativas,PU,Intervalo Indicativo,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,Mínimo (D0),Máximo (D0),Mínimo (D+1),Máximo (D+1)
760199,36722,46249,10.2021,10.172599999999999,10.1898,4494.8048129999997,9.9189000000000007,10.528700000000001,9.9191000000000003,10.531000000000001
760199,36722,46522,8.8609000000000009,8.8282000000000007,8.8444000000000003,4405.7596590000003,8.5474999999999994,9.1574000000000009,8.5182000000000002,9.1275999999999993
760199,36722,46980,8.2029999999999994,8.1715999999999998,8.1859000000000002,4420.7640039999997,7.9112,8.5855999999999995,7.8398000000000003,8.5145999999999997
760199,36722,47253,7.8788,7.8426999999999998,7.8627000000000002,4347.9856669999999,7.6040000000000001,8.2027999999999999,7.5305,8.1297999999999995
760199,36722,47710,7.7644000000000002,7.7343999999999999,7.75,4363.4713849999998,7.5308000000000002,8.0419,7.4507000000000003,7.9619999999999997
760199,36722,48441,7.6460999999999997,7.6150000000000002,7.6300999999999997,4293.4314320000003,7.4778000000000002,7.9417,7.3784000000000001,7.8423999999999996
760199,36722,48714,7.5461,7.5091000000000001,7.5293000000000001,4221.0981389999997,7.3804999999999996,7.8285,7.2925000000000004,7.7405999999999997
760199,36722,49444,7.3917999999999999,7.3539000000000003,7.3738000000000001,4198.2918989999998,7.2522000000000002,7.6647999999999996,7.1689999999999996,7.5816999999999997
760199,36722,51363,7.2302999999999997,7.1959,7.2115,4197.0203439999996,7.1409000000000002,7.4722999999999997,7.0552999999999999,7.3864000000000001
760199,36722,53097,7.2260999999999997,7.1955,7.21,4059.4608400000002,7.1490999999999998,7.4619999999999997,7.0627000000000004,7.3754
760199,36722,55015,7.1418999999999997,7.1089000000000002,7.1273999999999997,4108.0296850000004,7.0541,7.3631000000000002,6.9870000000000001,7.2957000000000001
760199,36722,56749,7.1233000000000004,7.0876999999999999,7.1045999999999996,4018.1080670000001,7.0308000000000002,7.3403,6.9654999999999996,7.2747999999999999
760199,36722,58668,7.1467999999999998,7.1142000000000003,7.1299999999999999,4045.319336,7.0586000000000002,7.3688000000000002,6.9916,7.3014999999999999
Quando uma taxa for interpolada será apresentada em negrito.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Os preços unitários são calculados a partir da projeção para o IPCA apurada pela Comitê de Acompanhamento Macroeconômico da ANBIMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"para o mês, à exceção do período entre o dia de divulgação do IPCA final e o dia 15 do mês corrente, caso em que é utilizado o próprio índice do",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mês anterior, divulgado pelo IBGE.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Projeção IPCA para Julho:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Média apurada pela Comitê de Acompanhamento Macroeconômico da ANBIMA:  0,36%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
